age,body_type,drinks,drugs,education,income,job,smokes,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,has kids,wants kids,likes_dogs,likes_cats,has_dogs,has_cats,sign,sign_importance,religion,religion_importance,chinese,spanish,c++,german,french,italian,japanese,russian,portuguese,latitude,longitude
45,1,2,0,3,80000,2,0,0.8876609802246094,0.0593143105506897,0.053024709224700935,0.04028783738613129,0.04740292206406593,0.912309229373932,0.1392475962638855,0.041264310479164124,0.8194880485534668,0.04885707050561905,0.04848159477114677,0.9026613235473632,0.42413094639778137,0.5489933490753174,0.02687569335103035,0.043065235018730164,0.9053397178649902,0.0515950433909893,0.039192099124193185,0.35171979665756226,0.609088122844696,0.17718330025672913,0.17456857860088348,0.6482481360435486,0.11390642821788788,0.39582493901252747,0.4902685880661011,0.1675816774368286,0.16824251413345334,0.664175808429718,2,0,1,1,0,0,aries,1,judaism,1,0,0,0,0,0,0,0,0,0,37.7790262,-122.4199061
19,4,0,0,2,-1,1,0,0.019080845639109608,0.9618272185325624,0.01909196749329567,0.05978008732199669,0.8823391199111938,0.057880789041519165,0.11579541116952895,0.051560621708631516,0.8326439261436462,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.018674908205866814,0.01894552633166313,0.9623795151710509,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0,0,1,1,1,0,aquarius,0,atheism,0,0,0,0,0,0,0,0,0,0,37.5164926,-122.2941914
32,4,2,0,1,-1,4,1,0.9606800079345704,0.02151631005108356,0.017803741618990898,0.03268101438879967,0.4008483588695526,0.5664706230163574,0.4643875062465668,0.037630870938301086,0.4979816675186157,0.4684871733188629,0.2424198538064957,0.2890929877758026,0.01595713198184967,0.9683138132095336,0.015729077160358432,0.039943259209394455,0.9253066778182985,0.0347500815987587,0.3979185223579407,0.07988325506448746,0.5221982598304749,0.4557431042194367,0.25470027327537537,0.2895565927028656,0.4460142254829407,0.11596760153770448,0.4380182027816773,0.030575960874557495,0.03217053413391113,0.9372534751892091,0,0,1,1,0,0,sagittarius,0,agnosticism,0,0,0,3,1,0,0,0,0,0,37.3893889,-122.0832101
49,1,2,0,3,-1,2,0,0.07263624668121338,0.865524411201477,0.06183936446905136,0.021778644993901253,0.020446373149752617,0.9577749967575072,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.03663749620318413,0.2446857690811157,0.7186767458915709,0.7576509118080139,0.1134198233485222,0.1289292275905609,0.5411950945854187,0.02332077547907829,0.4354841411113739,0.024440107867121696,0.9529551863670348,0.022604728117585186,0.5597882866859436,0.13594834506511688,0.3042633831501007,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0,0,1,1,1,1,leo,1,agnosticism,1,0,0,0,0,2,0,0,0,0,37.7790262,-122.4199061
44,2,1,0,3,-1,2,0,0.8352329134941101,0.15627729892730713,0.0,0.7831832766532898,0.19122759997844696,0.025589143857359886,0.15283268690109253,0.7353439927101135,0.11182332783937454,0.0678689032793045,0.8575775623321533,0.07455351948738098,0.1288888305425644,0.8585913777351379,0.012519842945039272,0.6166753172874451,0.3459431529045105,0.037381529808044434,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.040214020758867264,0.04294336959719658,0.9168426394462584,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.10072748363018036,0.09837916493415833,0.8008933663368225,0,0,2,1,0,1,gemini,0,catholicism,1,0,3,0,0,0,0,0,0,0,37.4519671,-122.1779927
29,0,2,0,3,-1,2,0,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0,0,1,1,0,0,,0,other,0,0,0,0,0,0,0,0,0,0,37.7790262,-122.4199061
31,4,4,2,1,20000,2,0,0.6007969379425049,0.3599255979061127,0.03927747905254364,0.8509576320648193,0.07433192431926727,0.07471049576997757,0.7229773998260498,0.14409703016281128,0.13292555510997772,0.09135320037603377,0.8243792653083801,0.0842674970626831,0.14035384356975555,0.8507797122001648,0.0,0.021324412897229198,0.19471512734889984,0.7839604616165161,0.19023331999778748,0.1721756011247635,0.6375910639762878,0.09374959766864777,0.8012721538543701,0.10497824102640152,0.7770705223083496,0.11135164648294447,0.11157777160406113,0.7480860948562622,0.12091396003961564,0.13099996745586395,2,0,1,2,1,0,virgo,0,christianity,3,0,0,3,0,0,0,0,0,0,37.7790262,-122.4199061
29,4,2,1,3,-1,1,0,0.7113672494888306,0.17820654809474945,0.1104261502623558,0.551213800907135,0.03737421706318855,0.4114120006561279,0.5569925308227539,0.2762719690799713,0.16673554480075836,0.09105414152145386,0.28457826375961304,0.6243676543235779,0.211311474442482,0.12249624729156496,0.6661922931671143,0.2726212739944458,0.6962696313858032,0.031109059229493138,0.3818168640136719,0.20813684165477755,0.4100463092327118,0.9281487464904784,0.03653379529714584,0.035317499190568924,0.8289155364036559,0.08622942864894867,0.08485506474971771,0.2778225839138031,0.7159283757209778,0.0,0,0,1,1,0,0,pisces,0,other,0,0,1,0,1,2,0,0,0,0,37.8044557,-122.2713563
38,2,2,1,1,-1,0,1,0.10142664611339568,0.10921647399663924,0.7893568277359009,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.913909375667572,0.03940917178988457,0.04668143391609192,0.4240656197071075,0.4537548422813416,0.12217950075864792,0.976719856262207,0.0,0.018446091562509537,0.8801994919776917,0.04341820254921913,0.07638225704431534,0.3722143173217773,0.5398188233375549,0.08796685189008713,0.04672079160809517,0.045795798301696784,0.9074833989143372,0.09098458290100098,0.8220178484916687,0.08699758350849153,0.059433512389659875,0.058209650218486786,0.8823568224906921,0,0,1,1,0,0,,0,other,0,0,3,0,0,0,0,0,0,0,37.7790262,-122.4199061
38,1,0,0,1,-1,2,0,0.8841713070869446,0.11038810014724733,0.0,0.17992457747459412,0.1733827143907547,0.6466927528381348,0.8325077891349792,0.0834684744477272,0.08402373641729355,0.6105861663818359,0.07460479438304901,0.31480908393859863,0.09918397665023804,0.884617805480957,0.016198256984353062,0.05403836071491242,0.8859004378318787,0.06006123125553131,0.5977060198783875,0.304018497467041,0.09827550500631332,0.17577184736728668,0.17016565799713135,0.6540625095367432,0.043465111404657364,0.043412379920482635,0.9131224751472472,0.17152272164821625,0.17242023348808289,0.6560570597648621,0,0,2,2,0,0,pisces,1,other,0,0,0,0,0,0,0,0,0,0,37.7790262,-122.4199061
